model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
"","","","",random %,sp_day_year (Intercept),8%,7%,9%,"",""
"","","","",random %,sp_loc (Intercept),4%,4%,5%,"",""
"","","","",random %,IDLocality (Intercept),6%,6%,6%,"",""
"","","","",random %,Species (Intercept),9%,8%,9%,"",""
"","","","",random %,genus (Intercept),6%,6%,7%,"",""
"","","","",random %,Country (Intercept),1%,-4%,5%,"",""
"","","","",random %,Country scale(Covid),1%,-4%,5%,"",""
"","","","",random %,Year (Intercept),2%,1%,4%,"",""
"","","","",random %,Residual,62%,53%,73%,"",""
Table S1 - 2a,Period,Gaussian,5260,fixed,(Intercept),0.166,-0.182,0.499,"",""
"","","","",fixed,scale(log(SD)),0.462,0.436,0.489,"",""
"","","","",fixed,scale(log(FlockSize)),-0.01,-0.031,0.01,"",""
"","","","",fixed,scale(log(BodyMass)),-0.012,-0.122,0.098,"",""
"","","","",fixed,scale(sin(rad)),0.028,-0.002,0.058,"",""
"","","","",fixed,scale(cos(rad)),0.036,0.011,0.061,"",""
"","","","",fixed,scale(Temp),-0.005,-0.038,0.028,"",""
"","","","",fixed,scale(Covid),-0.037,-0.208,0.135,"",""
"","","","",random %,sp_day_year (Intercept),9%,4%,12%,"",""
"","","","",random %,sp_loc (Intercept),0%,0%,2%,"",""
"","","","",random %,sp_loc scale(Covid),0%,0%,2%,"",""
"","","","",random %,IDLocality (Intercept),1%,-1%,2%,"",""
"","","","",random %,IDLocality scale(Covid),1%,-1%,2%,"",""
"","","","",random %,Species (Intercept),0%,-1%,5%,"",""
"","","","",random %,Species scale(Covid),0%,-1%,5%,"",""
"","","","",random %,genus (Intercept),0%,0%,5%,"",""
"","","","",random %,genus scale(Covid),0%,0%,5%,"",""
"","","","",random %,Country (Intercept),3%,-8%,17%,"",""
"","","","",random %,Country scale(Covid),3%,-8%,17%,"",""
"","","","",random %,Year (Intercept),4%,2%,3%,"",""
"","","","",random %,Residual,78%,31%,103%,"",""
Table S1 - 2b,Period,Gaussian,5260,fixed,(Intercept),0.161,-0.198,0.513,0.224423719241029,0.577260999933755
"","","","",fixed,scale(log(SD)),0.465,0.438,0.491,"",""
"","","","",fixed,scale(log(FlockSize)),-0.01,-0.031,0.01,"",""
"","","","",fixed,scale(log(BodyMass)),-0.011,-0.118,0.1,"",""
"","","","",fixed,scale(sin(rad)),0.028,-0.001,0.057,"",""
"","","","",fixed,scale(cos(rad)),0.032,0.008,0.055,"",""
"","","","",fixed,scale(Temp),-0.011,-0.042,0.019,"",""
"","","","",fixed,scale(Covid),-0.037,-0.219,0.14,"",""
"","","","",random %,sp_day_year (Intercept),8%,5%,10%,"",""
"","","","",random %,sp_loc (Intercept),3%,2%,4%,"",""
"","","","",random %,IDLocality (Intercept),4%,3%,4%,"",""
"","","","",random %,Species (Intercept),8%,7%,7%,"",""
"","","","",random %,genus (Intercept),6%,5%,6%,"",""
